State,Gender,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
Oregon,Female,Doctor,3261369.0,45173.0,268.0,0,Personal Auto,Luxury Car,1286.4
California,Female,Bachelor,944565.0,93246.0,78.0,0,Personal Auto,Two-Door Car,41.628869
Arizona,Male,High School or Below,680360.0,43758.0,171.0,0,Corporate Auto,SUV,1129.929433
Oregon,Male,Bachelor,976622.0,75651.0,81.0,0,Personal Auto,Four-Door Car,375.11129
Arizona,Female,Doctor,729485.0,0.0,67.0,0,Personal Auto,Four-Door Car,321.6
Oregon,Female,Doctor,568252.0,36938.0,70.0,0,Special Auto,Four-Door Car,244.801119
California,Male,Bachelor,633294.0,50843.0,82.0,0,Personal Auto,Two-Door Car,393.6
California,Female,Bachelor,491658.0,21907.0,62.0,0,Personal Auto,Four-Door Car,2.96438
California,Female,Bachelor,479824.0,77846.0,119.0,0,Personal Auto,Sports Car,342.471939
Washington,Male,Bachelor,564380.0,41043.0,72.0,0,Personal Auto,Four-Door Car,345.6
Arizona,Female,High School or Below,924746.0,97030.0,76.0,0,Corporate Auto,Four-Door Car,416.637499
Oregon,Male,High School or Below,732293.0,80864.0,182.0,0,Personal Auto,Luxury SUV,618.210272
Nevada,Female,College,827590.0,48197.0,106.0,0,Personal Auto,Four-Door Car,508.8
California,Male,Doctor,563540.0,70837.0,73.0,4,Personal Auto,Four-Door Car,362.743231
Arizona,Male,High School or Below,1497029.0,85297.0,93.0,0,Special Auto,Two-Door Car,620.011594
Oregon,Female,Master,933634.0,70177.0,115.0,0,Personal Auto,Four-Door Car,225.517666
Nevada,Male,College,4835696.0,52499.0,138.0,0,Personal Auto,SUV,1171.537594
Oregon,Male,College,568692.0,63143.0,71.0,0,Corporate Auto,Four-Door Car,340.8
Oregon,Male,Bachelor,862284.0,97361.0,73.0,0,Personal Auto,Four-Door Car,350.4
Nevada,Male,High School or Below,507967.0,50052.0,130.0,0,Personal Auto,Sports Car,624.0
Arizona,Female,Bachelor,562331.0,11612.0,71.0,0,Personal Auto,Four-Door Car,340.8
Arizona,Female,High School or Below,527001.0,78115.0,65.0,0,Personal Auto,Four-Door Car,255.454322
California,Female,Master,862117.0,81947.0,71.0,0,Personal Auto,Two-Door Car,203.993499
Oregon,Male,College,791833.0,44698.0,211.0,4,Personal Auto,Luxury Car,1012.8
California,Female,High School or Below,2103402.0,26876.0,66.0,0,Personal Auto,Four-Door Car,219.209762
Oregon,Female,College,1541768.0,69841.0,192.0,0,Personal Auto,Luxury SUV,878.812468
Oregon,Female,High School or Below,869264.0,97768.0,72.0,0,Personal Auto,Two-Door Car,151.843731
Oregon,Male,High School or Below,650314.0,0.0,187.0,0,Personal Auto,Luxury Car,1588.682955
Washington,Female,High School or Below,239619.0,39062.0,61.0,0,Corporate Auto,Two-Door Car,346.991025
Oregon,Female,Bachelor,591495.0,50217.0,74.0,0,Personal Auto,Two-Door Car,355.2
Washington,Female,Bachelors,224845.0,24910.0,63.0,1,Personal Auto,Four-Door Car,347.857619
Nevada,Male,College,682680.0,0.0,68.0,0,Personal Auto,Two-Door Car,489.6
Oregon,Female,Doctor,398218.0,38500.0,99.0,1,Corporate Auto,Four-Door Car,423.286512
Nevada,Female,High School or Below,288778.0,62018.0,71.0,0,Personal Auto,Two-Door Car,293.865315
Oregon,Female,College,225242.0,0.0,65.0,0,Personal Auto,Two-Door Car,468.0
California,Male,Master,845853.0,57394.0,106.0,0,Personal Auto,Four-Door Car,316.492058
California,Male,Bachelor,747831.0,23530.0,65.0,0,Corporate Auto,Two-Door Car,312.0
California,Female,High School or Below,378865.0,48887.0,95.0,0,Personal Auto,Four-Door Car,456.0
Oregon,Female,Master,522069.0,68867.0,129.0,0,Personal Auto,SUV,619.2
California,Female,College,713029.0,12062.0,63.0,0,Corporate Auto,Four-Door Car,302.4
Arizona,Male,College,851359.0,59230.0,107.0,0,Personal Auto,SUV,245.076091
Arizona,Female,Bachelor,566013.0,59586.0,72.0,0,Personal Auto,Four-Door Car,91.198362
Washington,Female,Bachelors,263814.0,79699.0,65.0,0,Personal Auto,Two-Door Car,348.82656
Arizona,Female,Bachelor,531890.0,25134.0,67.0,0,Personal Auto,Four-Door Car,321.6
Oregon,Female,College,416016.0,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
Oregon,Female,College,223735.0,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
California,Male,College,346012.0,0.0,100.0,1,Personal Auto,SUV,720.0
California,Male,Bachelor,1600551.0,44901.0,70.0,2,Personal Auto,Four-Door Car,460.806124
Arizona,Female,Bachelor,698660.0,0.0,93.0,0,Personal Auto,Four-Door Car,149.269407
Oregon,Female,Bachelor,882696.0,28463.0,113.0,2,Personal Auto,SUV,324.317667
Nevada,Female,Bachelor,472687.0,13037.0,124.0,0,Personal Auto,SUV,839.348464
California,Male,High School or Below,2744347.0,82320.0,99.0,1,Personal Auto,Four-Door Car,475.2
California,Female,Bachelor,724731.0,0.0,104.0,0,Personal Auto,SUV,499.2
Oregon,Female,College,513785.0,78460.0,64.0,0,Personal Auto,Four-Door Car,203.568733
Nevada,Male,College,273906.0,0.0,92.0,4,Personal Auto,Two-Door Car,657.290491
California,Male,College,509279.0,46922.0,64.0,0,Corporate Auto,Two-Door Car,403.385123
California,Male,College,579983.0,60689.0,74.0,0,Corporate Auto,Four-Door Car,5.746657
Nevada,Female,Master,550706.0,0.0,71.0,0,Personal Auto,Four-Door Car,340.8
Oregon,Female,College,1048492.0,61108.0,89.0,0,Personal Auto,Four-Door Car,49.451117
Arizona,Male,Bachelor,850128.0,98003.0,107.0,0,Personal Auto,SUV,449.408637
Washington,Female,High School or Below,293599.0,73847.0,73.0,1,Personal Auto,Two-Door Car,350.4
Arizona,Female,High School or Below,650340.0,22081.0,84.0,0,Personal Auto,Two-Door Car,451.670309
Nevada,Male,High School or Below,4680522.0,83006.0,235.0,1,Personal Auto,Luxury SUV,1065.049894
Arizona,Female,College,483471.0,38713.0,66.0,4,Corporate Auto,Four-Door Car,316.8
Oregon,Female,College,257532.0,28700.0,68.0,3,Personal Auto,Four-Door Car,326.4
California,Female,Master,3711166.0,61552.0,115.0,0,Personal Auto,SUV,12.252847
Nevada,Male,College,437119.0,56718.0,113.0,1,Personal Auto,SUV,542.4
Oregon,Male,Doctor,1679634.0,66776.0,71.0,0,Corporate Auto,Four-Door Car,131.808343
California,Male,High School or Below,798851.0,58268.0,67.0,0,Corporate Auto,Two-Door Car,228.641342
California,Male,College,226984.0,0.0,68.0,0,Personal Auto,Four-Door Car,542.016902
California,Male,Doctor,499147.0,12608.0,66.0,1,Personal Auto,Four-Door Car,214.866605
California,Male,Master,292193.0,63499.0,73.0,0,Personal Auto,Four-Door Car,278.964095
Oregon,Male,High School or Below,761319.0,36247.0,96.0,0,Corporate Auto,Four-Door Car,329.522858
California,Female,Master,582741.0,30228.0,73.0,0,Personal Auto,Four-Door Car,163.345647
Oregon,Female,College,260064.0,0.0,74.0,0,Personal Auto,Two-Door Car,501.472124
California,Female,High School or Below,849147.0,0.0,116.0,0,Personal Auto,Four-Door Car,1193.115879
Arizona,Female,Bachelor,977873.0,99364.0,121.0,0,Personal Auto,Sports Car,580.8
California,Male,Bachelor,2265854.0,23665.0,67.0,0,Personal Auto,Four-Door Car,404.817249
Arizona,Female,College,1000403.0,0.0,94.0,0,Corporate Auto,Four-Door Car,807.168846
Oregon,Male,High School or Below,487277.0,69247.0,61.0,1,Corporate Auto,Two-Door Car,226.522147
Arizona,Female,College,744481.0,56047.0,92.0,0,Corporate Auto,Four-Door Car,82.733588
Oregon,Male,College,576111.0,28919.0,73.0,0,Personal Auto,Two-Door Car,207.828024
Oregon,Female,Doctor,536678.0,0.0,70.0,0,Personal Auto,Four-Door Car,223.174067
Oregon,Female,College,625948.0,0.0,83.0,0,Personal Auto,Four-Door Car,254.142365
Arizona,Male,High School or Below,762358.0,69900.0,64.0,0,Personal Auto,Two-Door Car,33.97
California,Male,High School or Below,1096396.0,55687.0,276.0,0,Personal Auto,Luxury SUV,1324.8
Oregon,Female,Bachelor,742785.0,78294.0,92.0,0,Personal Auto,Four-Door Car,181.148732
Washington,Female,Bachelors,550414.0,0.0,73.0,0,Corporate Auto,Four-Door Car,350.4
Arizona,Male,Bachelor,466513.0,0.0,62.0,0,Personal Auto,Two-Door Car,297.6
California,Female,High School or Below,602184.0,0.0,168.0,0,Personal Auto,SUV,1476.670903
Nevada,Male,High School or Below,307411.0,0.0,104.0,3,Personal Auto,Sports Car,748.8
Oregon,Female,College,495309.0,21385.0,127.0,0,Corporate Auto,SUV,609.6
California,Male,Master,778049.0,87128.0,97.0,0,Personal Auto,Two-Door Car,495.612777
Nevada,Female,College,799278.0,35434.0,66.0,0,Personal Auto,Four-Door Car,297.051768
California,Female,Master,417069.0,29462.0,107.0,1,Corporate Auto,SUV,513.6
Nevada,Female,College,2322824.0,53243.0,102.0,3,Personal Auto,Four-Door Car,489.6
California,Male,High School or Below,544582.0,21006.0,139.0,1,Personal Auto,SUV,667.2
California,Female,College,455850.0,0.0,65.0,0,Personal Auto,Two-Door Car,312.0
Oregon,Male,Bachelor,552821.0,36088.0,72.0,0,Corporate Auto,Four-Door Car,345.6
Oregon,Female,College,1039067.0,28948.0,131.0,0,Corporate Auto,SUV,295.83086
Nevada,Female,College,714255.0,24417.0,185.0,0,Personal Auto,SUV,888.0
Oregon,Male,High School or Below,546954.0,67099.0,69.0,0,Personal Auto,Two-Door Car,22.995594
Oregon,Female,Bachelor,1162873.0,97830.0,96.0,0,Personal Auto,Four-Door Car,298.362415
Arizona,Male,College,1018965.0,0.0,101.0,0,Personal Auto,Four-Door Car,727.2
Arizona,Female,High School or Below,273343.0,93558.0,67.0,0,Personal Auto,Four-Door Car,478.234236
Arizona,Female,Doctor,401445.0,37384.0,99.0,0,Personal Auto,Four-Door Car,475.2
Arizona,Male,Bachelor,711953.0,28227.0,62.0,0,Personal Auto,Four-Door Car,551.28213
Nevada,Male,High School or Below,1177279.0,51008.0,74.0,0,Corporate Auto,Two-Door Car,355.2
California,Male,High School or Below,238179.0,78185.0,61.0,0,Personal Auto,Four-Door Car,292.8
California,Female,Bachelor,520835.0,0.0,74.0,0,Personal Auto,Four-Door Car,532.8
Nevada,Male,College,501873.0,0.0,68.0,0,Personal Auto,Four-Door Car,670.47746
Arizona,Female,Bachelor,1190054.0,97205.0,100.0,2,Personal Auto,Sports Car,5.573179
Washington,Female,Bachelors,580017.0,25472.0,73.0,0,Corporate Auto,Four-Door Car,350.4
California,Female,Bachelor,567438.0,26225.0,72.0,1,Special Auto,Four-Door Car,320.777404
Oregon,Male,College,727143.0,20545.0,70.0,0,Personal Auto,Two-Door Car,336.0
Oregon,Female,Master,316449.0,0.0,83.0,0,Personal Auto,Four-Door Car,398.4
Arizona,Female,College,266103.0,35503.0,67.0,0,Personal Auto,Two-Door Car,216.173135
Oregon,Female,College,1414056.0,58988.0,118.0,0,Personal Auto,Sports Car,566.4
Nevada,Female,Bachelor,765423.0,0.0,74.0,1,Personal Auto,Two-Door Car,355.2
Nevada,Male,High School or Below,219974.0,0.0,64.0,0,Personal Auto,Two-Door Car,685.456738
Oregon,Female,College,200435.0,0.0,66.0,4,Special Auto,Four-Door Car,316.8
Nevada,Male,College,1311111.0,67197.0,111.0,0,Special Auto,SUV,147.948783
Nevada,Male,High School or Below,1576260.0,39032.0,198.0,0,Personal Auto,SUV,950.4
Oregon,Female,College,1319793.0,0.0,68.0,3,Personal Auto,Four-Door Car,326.4
California,Male,High School or Below,278754.0,34927.0,70.0,0,Personal Auto,Two-Door Car,242.491357
Nevada,Male,Doctor,343613.0,30817.0,88.0,0,Personal Auto,Four-Door Car,91.834668
California,Female,Bachelor,271337.0,31535.0,70.0,0,Personal Auto,Four-Door Car,90.525716
California,Female,Bachelor,286731.0,23376.0,78.0,0,Personal Auto,Four-Door Car,374.4
California,Female,College,1459025.0,46244.0,62.0,0,Corporate Auto,Four-Door Car,255.285875
Arizona,Male,Bachelor,665247.0,34886.0,84.0,0,Personal Auto,Two-Door Car,403.2
Arizona,Male,High School or Below,244462.0,0.0,66.0,0,Corporate Auto,Four-Door Car,316.8
Washington,Female,College,289692.0,33746.0,74.0,1,Personal Auto,Two-Door Car,355.2
Oregon,Male,Doctor,1097207.0,24164.0,137.0,0,Personal Auto,Sports Car,657.6
Washington,Female,Bachelors,,25859.0,74.0,0,Special Auto,Four-Door Car,355.2
Oregon,Female,Bachelor,1935737.0,0.0,68.0,1,Personal Auto,Four-Door Car,326.4
Arizona,Female,Bachelor,722712.0,40153.0,61.0,0,Personal Auto,Four-Door Car,340.07498
Nevada,Female,College,785730.0,0.0,104.0,0,Personal Auto,SUV,499.2
Oregon,Female,Master,518162.0,97131.0,64.0,0,Personal Auto,Four-Door Car,307.2
Arizona,Female,High School or Below,428106.0,23712.0,106.0,0,Corporate Auto,SUV,508.8
Oregon,Female,Bachelor,1151316.0,0.0,64.0,0,Personal Auto,Four-Door Car,307.2
Nevada,Female,Bachelor,514711.0,33171.0,65.0,0,Personal Auto,Four-Door Car,236.643695
Nevada,Female,College,866350.0,0.0,83.0,1,Corporate Auto,Four-Door Car,398.4
Oregon,Female,High School or Below,253532.0,0.0,68.0,0,Corporate Auto,Four-Door Car,326.4
Nevada,Male,College,2150434.0,60228.0,112.0,1,Personal Auto,SUV,286.102971
Arizona,Male,High School or Below,734933.0,27072.0,93.0,0,Personal Auto,Four-Door Car,565.336931
California,Male,Master,850985.0,26057.0,74.0,0,Personal Auto,Four-Door Car,523.888845
Nevada,Female,High School or Below,429719.0,66331.0,107.0,0,Personal Auto,Two-Door Car,513.6
Washington,Male,College,871705.0,83846.0,74.0,3,Personal Auto,Four-Door Car,355.2
Washington,Male,College,871705.0,83846.0,74.0,3,Personal Auto,Four-Door Car,355.2
California,Female,College,1747664.0,45106.0,73.0,0,Personal Auto,Four-Door Car,350.4
Arizona,Female,Bachelor,1047990.0,78435.0,130.0,0,Personal Auto,SUV,553.61131
California,Female,Bachelor,224257.0,0.0,63.0,1,Corporate Auto,Two-Door Car,453.6
Oregon,Male,College,275446.0,79507.0,70.0,3,Personal Auto,Two-Door Car,442.199439
Arizona,Male,High School or Below,804120.0,44986.0,101.0,0,Corporate Auto,SUV,624.023564
Arizona,Male,College,604291.0,25899.0,79.0,0,Personal Auto,Two-Door Car,568.8
Oregon,Male,Bachelor,282744.0,13610.0,74.0,0,Personal Auto,Four-Door Car,355.2
Nevada,Male,Doctor,2204186.0,0.0,65.0,0,Personal Auto,Four-Door Car,312.0
California,Male,Bachelor,279680.0,77362.0,70.0,0,Personal Auto,Two-Door Car,386.599797
California,Male,High School or Below,407285.0,96443.0,102.0,0,Personal Auto,SUV,489.6
California,Male,Master,518246.0,0.0,135.0,1,Personal Auto,SUV,939.528475
Nevada,Male,Doctor,613166.0,90778.0,76.0,0,Personal Auto,Four-Door Car,62.291009
California,Female,High School or Below,239213.0,0.0,65.0,0,Corporate Auto,Four-Door Car,361.181122
Nevada,Female,Master,320966.0,78494.0,79.0,0,Personal Auto,Two-Door Car,122.305677
California,Female,Doctor,280861.0,83497.0,69.0,0,Special Auto,Four-Door Car,196.523187
Nevada,Male,College,436293.0,58842.0,110.0,0,Personal Auto,Four-Door Car,528.0
Arizona,Male,College,688047.0,63935.0,87.0,0,Personal Auto,Four-Door Car,221.61885
Oregon,Male,Bachelor,359107.0,0.0,96.0,0,Personal Auto,Four-Door Car,460.8
California,Male,High School or Below,520125.0,0.0,69.0,0,Personal Auto,Four-Door Car,331.2
Oregon,Female,College,552154.0,0.0,77.0,0,Personal Auto,Four-Door Car,369.6
Arizona,Female,Bachelor,507165.0,62258.0,65.0,0,Personal Auto,Two-Door Car,117.450428
Nevada,Male,Bachelor,292168.0,0.0,80.0,0,Corporate Auto,Four-Door Car,739.310493
California,Female,Master,1580653.0,58516.0,98.0,0,Corporate Auto,Two-Door Car,470.4
Washington,Female,Bachelor,574988.0,22814.0,73.0,0,Personal Auto,Four-Door Car,360.773462
California,Female,Bachelor,416742.0,56901.0,104.0,0,Personal Auto,SUV,499.2
California,Male,High School or Below,651495.0,0.0,61.0,1,Personal Auto,Four-Door Car,292.8
California,Male,Doctor,918952.0,99443.0,117.0,4,Personal Auto,SUV,228.049424
Oregon,Female,College,823122.0,0.0,113.0,0,Personal Auto,SUV,373.073162
Arizona,Male,Master,309518.0,88246.0,77.0,1,Corporate Auto,Four-Door Car,428.608683
Washington,Male,High School or Below,600521.0,26876.0,76.0,0,Corporate Auto,Four-Door Car,364.8
Nevada,Male,College,758211.0,64801.0,64.0,0,Personal Auto,Four-Door Car,268.471802
Oregon,Female,College,1634461.0,57029.0,68.0,0,Corporate Auto,Two-Door Car,135.788525
Arizona,Female,College,1176315.0,28045.0,99.0,0,Personal Auto,Four-Door Car,475.2
Nevada,Male,Master,405337.0,44661.0,101.0,0,Personal Auto,Two-Door Car,436.836944
Arizona,Female,High School or Below,331116.0,21246.0,83.0,0,Personal Auto,Four-Door Car,398.4
Nevada,Male,Doctor,352804.0,31278.0,92.0,4,Personal Auto,Two-Door Car,441.6
California,Female,High School or Below,559539.0,74454.0,71.0,0,Personal Auto,Four-Door Car,340.8
California,Male,Master,508969.0,62474.0,63.0,0,Personal Auto,Four-Door Car,112.120881
Nevada,Male,High School or Below,2233716.0,0.0,130.0,0,Personal Auto,SUV,1376.910777
Arizona,Male,College,479283.0,20647.0,63.0,0,Personal Auto,Four-Door Car,185.061408
California,Female,Bachelor,2778969.0,33806.0,89.0,0,Personal Auto,Four-Door Car,395.729716
Oregon,Female,Bachelor,751166.0,0.0,70.0,0,Personal Auto,Four-Door Car,340.201412
Oregon,Male,High School or Below,1876755.0,0.0,111.0,0,Personal Auto,Sports Car,900.14526
California,Female,College,498764.0,19589.0,127.0,0,Personal Auto,SUV,1027.010512
California,Female,College,512320.0,22338.0,67.0,1,Personal Auto,Two-Door Car,307.801098
Nevada,Male,College,598977.0,66839.0,154.0,0,Personal Auto,Sports Car,739.2
Washington,Female,High School or Below,242928.0,26736.0,63.0,0,Personal Auto,Four-Door Car,367.92773
Oregon,Female,College,582818.0,31364.0,74.0,0,Personal Auto,Four-Door Car,461.269135
Washington,Male,College,283159.0,17752.0,77.0,0,Personal Auto,Four-Door Car,369.6
Oregon,Male,College,976794.0,36225.0,123.0,0,Special Auto,SUV,221.048602
Oregon,Female,Doctor,1209791.0,0.0,107.0,0,Personal Auto,SUV,271.014511
California,Male,High School or Below,226532.0,0.0,61.0,0,Personal Auto,Four-Door Car,292.8
California,Female,Bachelor,571909.0,77601.0,71.0,0,Personal Auto,Two-Door Car,276.640352
Oregon,Male,Master,1017148.0,74243.0,84.0,0,Corporate Auto,Four-Door Car,71.311211
California,Female,College,1051716.0,46707.0,133.0,0,Personal Auto,Sports Car,80.70505
Oregon,Female,Bachelor,430347.0,0.0,116.0,0,Personal Auto,SUV,765.566699
California,Male,College,1192675.0,50234.0,101.0,0,Personal Auto,Four-Door Car,484.8
Oregon,Male,Master,1653170.0,75526.0,103.0,1,Personal Auto,Four-Door Car,494.4
Washington,Male,Bachelor,305928.0,65083.0,77.0,0,Personal Auto,Four-Door Car,369.6
Nevada,Male,High School or Below,543744.0,28343.0,69.0,0,Personal Auto,Two-Door Car,331.2
California,Male,Bachelor,510330.0,74948.0,64.0,0,Corporate Auto,Four-Door Car,216.744457
Oregon,Male,High School or Below,458310.0,22728.0,116.0,0,Personal Auto,Four-Door Car,556.8
California,Female,High School or Below,640963.0,0.0,99.0,2,Personal Auto,Two-Door Car,712.8
California,Female,High School or Below,899198.0,17331.0,117.0,0,Personal Auto,SUV,1138.255325
California,Female,College,1223278.0,35133.0,102.0,0,Personal Auto,SUV,692.962785
Nevada,Female,College,512604.0,63147.0,64.0,0,Personal Auto,Four-Door Car,87.565229
California,Female,College,1101416.0,67575.0,91.0,0,Personal Auto,Four-Door Car,401.60781
Oregon,Male,High School or Below,381962.0,0.0,111.0,0,Personal Auto,Two-Door Car,799.2
California,Female,High School or Below,840440.0,48315.0,71.0,0,Personal Auto,Four-Door Car,340.8
Arizona,Female,High School or Below,903567.0,34337.0,113.0,0,Corporate Auto,Four-Door Car,542.4
Oregon,Male,High School or Below,545371.0,33818.0,72.0,4,Personal Auto,Four-Door Car,341.878002
California,Female,High School or Below,376637.0,22439.0,98.0,0,Personal Auto,Four-Door Car,470.4
Oregon,Female,College,728393.0,79055.0,186.0,1,Personal Auto,Luxury SUV,177.635183
Nevada,Female,College,274525.0,45191.0,69.0,0,Personal Auto,Four-Door Car,330.782934
California,Male,Bachelor,262628.0,41990.0,66.0,0,Personal Auto,Four-Door Car,316.8
Oregon,Female,Master,245682.0,50979.0,61.0,1,Personal Auto,Two-Door Car,262.842655
Oregon,Female,College,845368.0,59888.0,106.0,0,Personal Auto,Four-Door Car,712.682559
California,Male,College,350857.0,20978.0,98.0,1,Personal Auto,Four-Door Car,1176.2788
California,Male,High School or Below,287735.0,32807.0,73.0,0,Personal Auto,Four-Door Car,350.4
Nevada,Male,College,784017.0,58414.0,210.0,2,Personal Auto,Luxury SUV,1008.0
Arizona,Female,College,277104.0,50071.0,71.0,0,Corporate Auto,Two-Door Car,18.918935
Nevada,Female,High School or Below,533949.0,67796.0,69.0,4,Personal Auto,Four-Door Car,331.2
Washington,Male,College,809288.0,50825.0,102.0,0,Personal Auto,SUV,369.614729
Washington,Female,High School or Below,864650.0,64125.0,108.0,0,Corporate Auto,SUV,369.818708
Oregon,Male,Bachelor,565924.0,69387.0,71.0,0,Personal Auto,Four-Door Car,71.517444
Oregon,Male,Doctor,553246.0,29084.0,71.0,1,Corporate Auto,Four-Door Car,492.088331
Oregon,Male,Bachelor,794351.0,60214.0,100.0,1,Corporate Auto,Sports Car,291.287905
Oregon,Male,High School or Below,977461.0,96018.0,122.0,0,Personal Auto,SUV,390.88142
Washington,Female,High School or Below,406700.0,28466.0,102.0,0,Personal Auto,SUV,371.802628
California,Female,High School or Below,2320839.0,60233.0,116.0,0,Personal Auto,Two-Door Car,481.265179
Oregon,Male,Bachelor,732589.0,52920.0,93.0,0,Personal Auto,Four-Door Car,1101.05432
California,Male,Bachelor,417034.0,90310.0,104.0,0,Personal Auto,SUV,166.355491
California,Male,College,784017.0,58414.0,210.0,2,Special Auto,Luxury SUV,1008.0
Washington,Female,Doctor,887597.0,69205.0,110.0,0,Personal Auto,Four-Door Car,372.362565
Oregon,Male,High School or Below,1937891.0,21159.0,73.0,0,Personal Auto,Four-Door Car,350.4
Washington,Male,College,597100.0,64008.0,85.0,5,Personal Auto,Four-Door Car,372.893812
Arizona,Female,Bachelor,914888.0,68236.0,114.0,0,Personal Auto,SUV,20.725611
Arizona,Female,High School or Below,1377098.0,59207.0,116.0,0,Personal Auto,Four-Door Car,556.8
Washington,Female,High School or Below,2009689.0,92766.0,71.0,0,Personal Auto,Two-Door Car,379.029102
Arizona,Male,High School or Below,582168.0,77563.0,143.0,0,Personal Auto,Sports Car,545.999699
Arizona,Female,College,309580.0,33415.0,78.0,0,Personal Auto,Four-Door Car,374.4
California,Female,Bachelor,1059854.0,20179.0,133.0,1,Corporate Auto,SUV,638.4
California,Male,Bachelor,769512.0,50147.0,101.0,0,Personal Auto,SUV,484.8
Washington,,Bachelor,304179.0,13789.0,79.0,0,Personal Auto,Four-Door Car,379.2
Oregon,Male,Master,868982.0,0.0,99.0,5,Personal Auto,Four-Door Car,475.2
Nevada,Female,High School or Below,813178.0,93715.0,102.0,2,Personal Auto,SUV,254.83769
Oregon,Male,High School or Below,381532.0,23540.0,103.0,2,Corporate Auto,Two-Door Car,494.4
California,Female,College,1163890.0,25370.0,102.0,0,Personal Auto,Sports Car,489.6
Nevada,Female,Bachelor,2280054.0,68771.0,96.0,0,Personal Auto,Four-Door Car,276.268778
California,Female,Bachelor,446300.0,0.0,73.0,3,Special Auto,Two-Door Car,350.4
Oregon,Female,College,1315183.0,68562.0,108.0,0,Personal Auto,SUV,228.498823
Arizona,Male,High School or Below,1401998.0,36733.0,71.0,0,Personal Auto,Four-Door Car,327.078047
Nevada,Female,College,293116.0,45768.0,73.0,0,Personal Auto,Two-Door Car,191.934494
California,Female,Bachelor,477475.0,0.0,64.0,0,Personal Auto,Four-Door Car,307.2
Arizona,Male,Master,847142.0,63513.0,70.0,0,Personal Auto,Four-Door Car,185.667213
Arizona,Female,College,543122.0,58161.0,68.0,0,Corporate Auto,Four-Door Car,140.747286
Nevada,Female,College,568964.0,83640.0,70.0,0,Corporate Auto,Two-Door Car,471.050488
California,Female,Master,368672.0,0.0,96.0,0,Personal Auto,Two-Door Car,28.460568
California,Male,Bachelor,399258.0,0.0,111.0,0,Personal Auto,SUV,700.349052
Washington,Male,High School or Below,3479.0,0.0,104.0,0,Personal Auto,Two-Door Car,499.2
Arizona,Male,Master,2503.0,0.0,66.0,0,Personal Auto,Two-Door Car,3.468912
Nevada,Female,Bachelor,3265.0,25820.0,82.0,0,Personal Auto,Four-Door Car,393.6
California,Female,High School or Below,4456.0,0.0,121.0,0,Personal Auto,SUV,699.615192
California,Male,High School or Below,7705.0,30366.0,101.0,2,Personal Auto,SUV,484.8
Arizona,Male,College,2751.0,51789.0,70.0,0,Personal Auto,Four-Door Car,336.0
Oregon,Male,Master,13024.0,0.0,125.0,0,Personal Auto,SUV,900.0
Oregon,Male,Bachelor,2539.0,18608.0,71.0,0,Corporate Auto,Four-Door Car,340.8
California,Female,College,2586.0,83758.0,64.0,0,Corporate Auto,Two-Door Car,106.591949
Nevada,Female,Master,5097.0,22886.0,65.0,0,Personal Auto,Four-Door Car,312.0
California,Female,High School or Below,10083.0,11828.0,90.0,0,Personal Auto,Four-Door Car,571.479602
California,Female,College,4943.0,44762.0,62.0,0,Corporate Auto,Four-Door Car,114.51444
Nevada,Female,Bachelor,6516.0,0.0,175.0,0,Personal Auto,SUV,1221.143438
Arizona,Male,Bachelor,8838.0,82664.0,114.0,3,Corporate Auto,SUV,133.425609
Oregon,Male,High School or Below,3810.0,0.0,108.0,0,Personal Auto,Four-Door Car,777.6
Arizona,Male,Bachelor,6334.0,0.0,63.0,0,Personal Auto,Four-Door Car,302.4
Washington,Female,College,11665.0,84978.0,72.0,1,Corporate Auto,Four-Door Car,166.77296
California,Male,Doctor,10972.0,24164.0,137.0,0,Corporate Auto,Sports Car,657.6
California,Female,College,6007.0,0.0,80.0,0,Personal Auto,Four-Door Car,488.910614
Washington,Male,High School or Below,2657.0,62777.0,67.0,0,Personal Auto,Two-Door Car,101.288069
Arizona,Female,Bachelor,2359.0,19864.0,63.0,0,Personal Auto,Four-Door Car,352.394515
Arizona,Male,Bachelor,12037.0,44428.0,104.0,0,Personal Auto,SUV,499.2
California,Female,Bachelor,8467.0,21139.0,113.0,0,Personal Auto,Sports Car,656.798232
California,Male,College,9393.0,0.0,88.0,0,Personal Auto,Four-Door Car,851.146266
California,Female,Bachelor,5227.0,11896.0,69.0,0,Personal Auto,Two-Door Car,476.254583
Oregon,Male,Bachelor,2694.0,0.0,73.0,1,Personal Auto,Two-Door Car,350.4
California,Male,High School or Below,2227.0,27972.0,61.0,0,Personal Auto,Four-Door Car,292.8
California,Male,Doctor,2327.0,0.0,62.0,0,Personal Auto,Four-Door Car,624.711448
Oregon,Female,High School or Below,16794.0,38399.0,106.0,0,Personal Auto,SUV,368.890904
Arizona,Female,High School or Below,5017.0,20868.0,63.0,0,Personal Auto,Four-Door Car,134.629643
Oregon,Male,Bachelor,7758.0,49682.0,101.0,0,Personal Auto,SUV,198.84453
California,Female,Bachelor,8609.0,79090.0,107.0,0,Personal Auto,SUV,289.040734
Oregon,Female,High School or Below,5275.0,81850.0,132.0,0,Personal Auto,Sports Car,429.860895
